"","State","flu_like_deaths","detrended","detrended_flu_like","median","median_flu_like","Week.Ending.Date","Total.Deaths","data_set","MMWR.Week","centered","centered_flu_like","non_flu_deaths","detrended_non_flu_like","centered_non_flu_like"
"9551","Michigan",206,1905.05847953216,212.42735042735,1867.27192982456,45.457264957265,2021-03-20,2015,"2020-2021",11,37.786549707602,166.970085470085,1809,1692.63112910481,-129.183535762483
"9552","Michigan",258,1981.76608187134,264.444444444444,1829.37719298246,44.8717948717949,2021-03-27,2092,"2020-2021",12,152.388888888888,219.57264957265,1834,1717.3216374269,-67.1837606837611
"9553","Michigan",320,1941.47368421053,326.461538461538,1835.74269005848,51.5,2021-04-03,2052,"2020-2021",13,105.730994152046,274.961538461538,1732,1615.01214574899,-169.230544309492
"9554","Michigan",417,2222.18128654971,423.478632478633,1854.48538011696,45.4615384615385,2021-04-10,2333,"2020-2021",14,367.695906432748,378.017094017094,1916,1798.70265407107,-10.3211875843459
"9555","Michigan",507,2165.88888888889,513.495726495726,1847.30701754386,47.4786324786325,2021-04-17,2277,"2020-2021",15,318.581871345029,466.017094017094,1770,1652.39316239316,-147.435222672065
"9556","Michigan",578,2298.59649122807,584.512820512821,1782.36549707602,42.0512820512821,2021-04-24,2410,"2020-2021",16,516.230994152046,542.461538461538,1832,1714.08367071525,-26.2305443094921
"9557","Michigan",517,2214.30409356725,523.529914529915,1801.21052631579,38.0042735042735,2021-05-01,2326,"2020-2021",17,413.093567251462,485.525641025641,1809,1690.77417903734,-72.4320737741795
"9558","Michigan",461,2141.01169590643,467.547008547009,1767.02046783626,33.1324786324786,2021-05-08,2253,"2020-2021",18,373.991228070175,434.41452991453,1792,1673.46468735942,-60.4233018443548
"9559","Michigan",426,2059.71929824561,432.564102564103,1749.57894736842,32.6581196581197,2021-05-15,2172,"2020-2021",19,310.140350877193,399.905982905983,1746,1627.15519568151,-89.7656320287902
"9560","Michigan",359,2090.42690058479,365.581196581197,1721.84502923977,34.9529914529915,2021-05-22,2203,"2020-2021",20,368.581871345029,330.628205128205,1844,1724.8457040036,37.9536662168234
"9561","Michigan",259,1888.13450292398,265.598290598291,1690.40350877193,28.6837606837607,2021-05-29,2001,"2020-2021",21,197.730994152046,236.91452991453,1742,1622.53621232569,-39.1835357624838
"9562","Michigan",228,1850.84210526316,234.615384615385,1724.14619883041,30.9871794871795,2021-06-05,1964,"2020-2021",22,126.695906432748,203.628205128205,1736,1616.22672064777,-76.932298695457
"9563","Michigan",178,1862.54970760234,184.632478632479,1693.45614035088,34.0042735042735,2021-06-12,1976,"2020-2021",23,169.093567251462,150.628205128205,1798,1677.91722896986,18.4653621232564
"9564","Michigan",178,1777.25730994152,184.649572649573,1720.36842105263,26.5213675213675,2021-06-19,1891,"2020-2021",24,56.8888888888887,158.128205128205,1713,1592.60773729195,-101.239316239316
"9565","Michigan",132,1810.9649122807,138.666666666667,1682.38304093567,25.5384615384615,2021-06-26,1925,"2020-2021",25,128.581871345029,113.128205128205,1793,1672.29824561403,15.4536662168236
"9566","Michigan",117,1761.67251461988,123.683760683761,1670.68128654971,28.0555555555556,2021-07-03,1876,"2020-2021",26,90.9912280701751,95.6282051282051,1759,1637.98875393612,-4.63697705803001
"9567","Michigan",116,1800.38011695906,122.700854700855,1688.04678362573,32.3974358974359,2021-07-10,1915,"2020-2021",27,112.333333333333,90.3034188034188,1799,1677.67926225821,22.029914529914
"9568","Michigan",101,1751.08771929825,107.717948717949,1640.30116959064,28.3034188034188,2021-07-17,1866,"2020-2021",28,110.786549707602,79.4145299145299,1765,1643.3697705803,31.3720197930721
"9569","Michigan",117,1778.79532163743,123.735042735043,1712.56432748538,28.5512820512821,2021-07-24,1894,"2020-2021",29,66.2309941520462,95.1837606837607,1777,1655.06027890238,-28.9527665317145
"9570","Michigan",99,1743.50292397661,105.752136752137,1662.11403508772,27.2350427350427,2021-07-31,1859,"2020-2021",30,81.3888888888885,78.517094017094,1760,1637.75078722447,2.87179487179445
"9571","Michigan",128,1818.21052631579,134.769230769231,1676.8216374269,19.3076923076923,2021-08-07,1934,"2020-2021",31,141.388888888888,115.461538461538,1806,1683.44129554656,25.9273504273498
"9572","Michigan",158,1841.91812865497,164.786324786325,1674.13157894737,26.1581196581197,2021-08-14,1958,"2020-2021",32,167.786549707602,138.628205128205,1800,1677.13180386865,29.1583445793969
"9573","Michigan",196,1928.62573099415,202.803418803419,1648.4298245614,25.3418803418803,2021-08-21,2045,"2020-2021",33,280.195906432748,177.461538461538,1849,1725.82231219073,102.73436797121
